Network,Title,Complete URL,Token ID
Ethereum,STAIK.ai - Founding Members #1 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951056690772180993,25380209649379226024419650074902449696200324068147129710905951056690772180993
Ethereum,STAIK.ai - Founding Members #2 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951057790283808769,25380209649379226024419650074902449696200324068147129710905951057790283808769
Ethereum,STAIK.ai - Founding Members #3 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951058889795436545,25380209649379226024419650074902449696200324068147129710905951058889795436545
Ethereum,STAIK.ai - Founding Members #4 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951059989307064321,25380209649379226024419650074902449696200324068147129710905951059989307064321
Ethereum,STAIK.ai - Founding Members #5 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951061088818692097,25380209649379226024419650074902449696200324068147129710905951061088818692097
Ethereum,STAIK.ai - Founding Members #6 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951062188330319873,25380209649379226024419650074902449696200324068147129710905951062188330319873
Ethereum,STAIK.ai - Founding Members #7 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951063287841947649,25380209649379226024419650074902449696200324068147129710905951063287841947649
Ethereum,STAIK.ai - Founding Members #8 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951064387353575425,25380209649379226024419650074902449696200324068147129710905951064387353575425
Ethereum,STAIK.ai - Founding Members #9 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951065486865203201,25380209649379226024419650074902449696200324068147129710905951065486865203201
Ethereum,STAIK.ai - Founding Members #10 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951066586376830977,25380209649379226024419650074902449696200324068147129710905951066586376830977
Ethereum,STAIK.ai - Founding Members #11 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951067685888458753,25380209649379226024419650074902449696200324068147129710905951067685888458753
Ethereum,STAIK.ai - Founding Members #12 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951068785400086529,25380209649379226024419650074902449696200324068147129710905951068785400086529
Ethereum,STAIK.ai - Founding Members #13 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951069884911714305,25380209649379226024419650074902449696200324068147129710905951069884911714305
Ethereum,STAIK.ai - Founding Members #14 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951070984423342081,25380209649379226024419650074902449696200324068147129710905951070984423342081
Ethereum,STAIK.ai - Founding Members #15 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951072083934969857,25380209649379226024419650074902449696200324068147129710905951072083934969857
Ethereum,STAIK.ai - Founding Members #16 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951073183446597633,25380209649379226024419650074902449696200324068147129710905951073183446597633
Ethereum,STAIK.ai - Founding Members #17 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951074282958225409,25380209649379226024419650074902449696200324068147129710905951074282958225409
Ethereum,STAIK.ai - Founding Members #18 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951075382469853185,25380209649379226024419650074902449696200324068147129710905951075382469853185
Ethereum,STAIK.ai - Founding Members #19 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951076481981480961,25380209649379226024419650074902449696200324068147129710905951076481981480961
Ethereum,STAIK.ai - Founding Members #20 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951077581493108737,25380209649379226024419650074902449696200324068147129710905951077581493108737
Ethereum,STAIK.ai - Founding Members #21 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951078681004736513,25380209649379226024419650074902449696200324068147129710905951078681004736513
Ethereum,STAIK.ai - Founding Members #22 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951079780516364289,25380209649379226024419650074902449696200324068147129710905951079780516364289
Ethereum,STAIK.ai - Founding Members #23 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951080880027992065,25380209649379226024419650074902449696200324068147129710905951080880027992065
Ethereum,STAIK.ai - Founding Members #24 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951081979539619841,25380209649379226024419650074902449696200324068147129710905951081979539619841
Ethereum,STAIK.ai - Founding Members #25 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951083079051247617,25380209649379226024419650074902449696200324068147129710905951083079051247617
Ethereum,STAIK.ai - Founding Members #26 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951084178562875393,25380209649379226024419650074902449696200324068147129710905951084178562875393
Ethereum,STAIK.ai - Founding Members #27 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951085278074503169,25380209649379226024419650074902449696200324068147129710905951085278074503169
Ethereum,STAIK.ai - Founding Members #28 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951086377586130945,25380209649379226024419650074902449696200324068147129710905951086377586130945
Ethereum,STAIK.ai - Founding Members #29 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951087477097758721,25380209649379226024419650074902449696200324068147129710905951087477097758721
Ethereum,STAIK.ai - Founding Members #30 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951088576609386497,25380209649379226024419650074902449696200324068147129710905951088576609386497
Ethereum,STAIK.ai - Founding Members #31 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951089676121014273,25380209649379226024419650074902449696200324068147129710905951089676121014273
Ethereum,STAIK.ai - Founding Members #32 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951090775632642049,25380209649379226024419650074902449696200324068147129710905951090775632642049
Ethereum,STAIK.ai - Founding Members #33 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951091875144269825,25380209649379226024419650074902449696200324068147129710905951091875144269825
Ethereum,STAIK.ai - Founding Members #34 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951092974655897601,25380209649379226024419650074902449696200324068147129710905951092974655897601
Ethereum,STAIK.ai - Founding Members #35 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951094074167525377,25380209649379226024419650074902449696200324068147129710905951094074167525377
Ethereum,STAIK.ai - Founding Members #36 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951095173679153153,25380209649379226024419650074902449696200324068147129710905951095173679153153
Ethereum,STAIK.ai - Founding Members #37 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951096273190780929,25380209649379226024419650074902449696200324068147129710905951096273190780929
Ethereum,STAIK.ai - Founding Members #38 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951097372702408705,25380209649379226024419650074902449696200324068147129710905951097372702408705
Ethereum,STAIK.ai - Founding Members #39 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951098472214036481,25380209649379226024419650074902449696200324068147129710905951098472214036481
Ethereum,STAIK.ai - Founding Members #40 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951099571725664257,25380209649379226024419650074902449696200324068147129710905951099571725664257
Ethereum,STAIK.ai - Founding Members #41 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951100671237292033,25380209649379226024419650074902449696200324068147129710905951100671237292033
Ethereum,STAIK.ai - Founding Members #42 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951101770748919809,25380209649379226024419650074902449696200324068147129710905951101770748919809
Ethereum,STAIK.ai - Founding Members #43 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951102870260547585,25380209649379226024419650074902449696200324068147129710905951102870260547585
Ethereum,STAIK.ai - Founding Members #44 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951103969772175361,25380209649379226024419650074902449696200324068147129710905951103969772175361
Ethereum,STAIK.ai - Founding Members #45 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951105069283803137,25380209649379226024419650074902449696200324068147129710905951105069283803137
Ethereum,STAIK.ai - Founding Members #46 of 1000,https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/25380209649379226024419650074902449696200324068147129710905951106168795430913,25380209649379226024419650074902449696200324068147129710905951106168795430913
